exp,display,tdd,m_pt
1a,triangle,0,0.49636641805316506
1a,triangle,0.02,0.5359772423025435
1a,triangle,0.05,0.6146586345381526
1a,triangle,0.09,0.7052543507362784
1a,triangle,0.14,0.7606425702811245
1a,horizontal,0,0.5221457257601836
1a,horizontal,0.02,0.5712564543889845
1a,horizontal,0.05,0.6366465863453815
1a,horizontal,0.09,0.7609103078982598
1a,horizontal,0.14,0.8042838018741634
1b,triangle,0,0.4896498599439776
1b,triangle,0.02,0.5875210084033613
1b,triangle,0.05,0.6647105508870215
1b,triangle,0.09,0.81171802054155
1b,triangle,0.14,0.8949766573295985
1b,horizontal,0,0.49866479925303453
1b,horizontal,0.02,0.6249953314659197
1b,horizontal,0.05,0.764313725490196
1b,horizontal,0.09,0.8791036414565826
1b,horizontal,0.14,0.9513398692810457
